Post_link,Post_language,Number_of_likes,Number_of_comments,Date_posted,Content_type,Content_format,Number_of_quotes,Number_of_reposts,View_count
https://x.com/GeekVibesNews/status/1799178273966186692,English,0,0,"2024-06-07 13:35:00",Announcement,"text, video",0,0,468
https://x.com/DM4HypeGuy/status/1799177645629874340,English,287,6,"2024-06-07 13:32:00",Announcement,"text, video",0,64,5364
https://x.com/grucyloverr/status/1799174428577640591,English,13,0,"2024-06-07 13:19:00","Express thoughts","text, picture",0,1,410
https://x.com/DM4HypeGuy/status/1799165295623606418,English,138,2,"2024-06-07 12:43:00","Express thoughts","text, picture",0,18,3180
https://x.com/DM4HypeGuy/status/1799164490635776473,English,23,3,"2024-06-07 12:40:00",Announcement,"text, picture",3,46,8964
https://x.com/Minions_Fanboy/status/1799160298169074113,English,241,3,"2024-06-07 12:23:00","Express thoughts","text, picture",0,40,5595
https://x.com/Pinkberry/status/1799124224830755300,English,6,0,"2024-06-07 10:00:00",Announcement,"text, picture",0,4,467
https://x.com/grucyloverr/status/1799118956436791616,English,14,1,"2024-06-07 09:39:00","Express thoughts","text, picture",0,1,480
https://x.com/DM4HypeGuy/status/1799114478740754704,English,98,5,"2024-06-07 09:21:00","No text","text, picture",0,17,2686
https://x.com/DM4HypeGuy/status/1799112829855019092,English,22,0,"2024-06-07 09:14:00","Express thoughts","text, picture",0,3,1148
https://x.com/DM4HypeGuy/status/1799109692213620985,English,15,2,"2024-06-07 09:02:00","Express thoughts","text, picture",0,2,1415
https://x.com/DM4HypeGuy/status/1799108823686455633,English,149,1,"2024-06-07 08:59:00","Express thoughts","text, picture",1,23,4556
https://x.com/DM4HypeGuy/status/1799107363729031641,English,25,1,"2024-06-07 08:53:00",Announcement,"text, GIF image",1,4,1178
https://x.com/Pinkberry/status/1799100296678760534,English,12,0,"2024-06-07 08:25:00",Announcement,"text, picture",0,2,1274
https://x.com/Minions_Fanboy/status/1799090023352209557,English,25,8,"2024-06-07 07:44:00",Question,"text, poll",1,10,7168
https://x.com/DM4HypeGuy/status/1799084976971071513,English,27,1,"2024-06-07 07:24:00",Announcement,"text, picture",0,7,1111
https://x.com/DM4HypeGuy/status/1799083511963664522,English,114,0,"2024-06-07 07:18:00",Announcement,"text, video",2,18,2949
https://x.com/DM4HypeGuy/status/1799082070712721642,English,26,3,"2024-06-07 07:12:00","Express thoughts","text, video",0,6,1283
https://x.com/DM4HypeGuy/status/1799081784057184673,English,25,1,"2024-06-07 07:11:00","Express thoughts","text, GIF image",0,1,966
https://x.com/DM4HypeGuy/status/1799079456533008515,English,237,11,"2024-06-07 07:02:00","Express thoughts","text, video",5,48,6336
https://x.com/DM4HypeGuy/status/1799077126739747120,English,206,1,"2024-06-07 06:53:00","Express thoughts","text, picture",0,35,3141
https://x.com/DM4HypeGuy/status/1799077334714376541,English,20,1,"2024-06-07 06:53:00","Express thoughts","text, picture",0,4,798
https://x.com/DM4HypeGuy/status/1799075603725062160,English,189,4,"2024-06-07 06:47:00","Express thoughts","text, picture",0,36,3806
https://x.com/AddictiveAI/status/1799071574789857774,English,19,1,"2024-06-07 06:31:00","Express thoughts","text, picture",0,1,340
https://x.com/MeDespicab94131/status/1799066086283067715,English,5,5,"2024-06-07 06:09:00",Question,"text, GIF image",0,0,186
https://x.com/lady_despicable/status/1799059515670921387,English,47,0,"2024-06-07 05:43:00","Express thoughts","text, picture",0,6,881
https://x.com/EveryUpdates_/status/1799041410064367713,English,4,0,"2024-06-07 04:31:00",Announcement,"text, picture",0,0,188
https://x.com/gowri_gal/status/1799013096067141663,English,0,1,"2024-06-07 02:38:00","Express thoughts","text, picture",0,0,330
https://x.com/adrienplayz1270/status/1799011826140917807,English,0,0,"2024-06-07 02:33:00",Announcement,"text, picture",0,0,291
https://x.com/sterkinekor/status/1798988267334910422,English,2,0,"2024-06-07 01:00:00","Express thoughts","text, video",0,0,517
https://x.com/ToneClooney/status/1798974929993445690,English,0,0,"2024-06-07 00:07:00","Express thoughts",text,0,0,73
https://x.com/ScreenBinge/status/1798971518741086332,English,2,0,"2024-06-06 23:53:00","Express thoughts","text, picture",0,0,139
https://x.com/DM4HypeGuy/status/1798952813499678773,English,45,0,"2024-06-06 22:39:00","Express thoughts","text, picture",0,11,1674
https://x.com/JuanitoSay/status/1798952445780898002,Spanish,153,0,"2024-06-06 22:37:00","Express thoughts","text, picture",0,10,4331
https://x.com/DM4HypeGuy/status/1798951728911712391,English,15,1,"2024-06-06 22:34:00","Express thoughts","text, picture",1,3,981
https://x.com/DM4HypeGuy/status/1798950489817809082,English,133,1,"2024-06-06 22:29:00",Announcement,"text, video",0,21,3492
https://x.com/DM4HypeGuy/status/1798949953034969140,English,120,0,"2024-06-06 22:27:00",Announcement,"text, video",0,17,3251
https://x.com/DM4HypeGuy/status/1798947991786770874,English,124,1,"2024-06-06 22:19:00",Announcement,"text, video",0,17,2445
https://x.com/Filmzlap/status/1798946532370395489,Thai,2,0,"2024-06-06 22:14:00","Express thoughts","text, picture",0,1,596
https://x.com/DM4HypeGuy/status/1798946417190613107,English,33,0,"2024-06-06 22:13:00","Express thoughts","text, picture",1,3,1144
https://x.com/oxo_YUNG/status/1798930602068259011,Korean,4,0,"2024-06-06 21:10:00",Announcement,"text, picture",0,2,619
https://x.com/Minions_Fanboy/status/1798867310138290414,English,59,3,"2024-06-06 16:59:00",Announcement,"text, picture",1,13,3993
https://x.com/RoGameNews/status/1798860274453053691,English,16,1,"2024-06-06 16:31:00",Announcement,"text, picture",1,3,3903
https://x.com/Minions_Fanboy/status/1798858690008949001,English,310,9,"2024-06-06 16:25:00","Express thoughts","text, video",3,56,13100
https://x.com/DM4HypeGuy/status/1798841224675357125,English,86,2,"2024-06-06 15:15:00","Express thoughts","text, video",0,15,1815
https://x.com/Minions_Fanboy/status/1798837091654406313,English,54,1,"2024-06-06 14:59:00",Announcement,"text, picture",1,12,3304
https://x.com/CineplexMovies/status/1798808329218850822,English,5,0,"2024-06-06 13:05:00",Announcement,"text, picture",0,1,2315
https://x.com/DM4HypeGuy/status/1798786353246900615,English,82,0,"2024-06-06 11:37:00",Announcement,"text, picture",0,12,2193
https://x.com/Fandango/status/1798776959658283470,English,25,0,"2024-06-06 11:00:00",Announcement,"text, picture",0,7,2958
