Post_link,Post_language,Number_of_likes,Number_of_comments,Date_posted,Content_type,Content_format,Number_of_quotes,Number_of_reposts,View_count
https://x.com/frawlies/status/1797613903012376594,English,5,1,"2024-06-03 05:58:00",Fanmade,"text, picture",0,0,226
https://x.com/niknikmin/status/1797573552172143021,English,2,0,"2024-06-03 03:18:00","Express thoughts",text,0,0,232
https://x.com/frawlies/status/1797409385435611276,English,5,0,"2024-06-02 16:26:00","Express thoughts","text, picture",0,0,261
https://x.com/CineCentre/status/1797348654644076734,English,0,0,"2024-06-02 12:24:00",Announcement,"text, video",0,0,229
https://x.com/WestWindDriveIn/status/1797342476404932868,English,2,0,"2024-06-02 12:00:00",Announcement,"text, video",0,0,207
https://x.com/DM4HypeGuy/status/1797334773246935510,English,13,1,"2024-06-02 11:29:00",Announcement,"text, GIF image",1,2,1981
https://x.com/DM4HypeGuy/status/1797332350214258929,English,79,1,"2024-06-02 11:19:00","Express thoughts","text, picture",1,12,3238
https://x.com/SilverbCinemas/status/1797312394277892505,English,1,0,"2024-06-02 10:00:00",Announcement,"text, video",0,0,175
https://x.com/Minions_Fanboy/status/1797306081523224701,English,30,1,"2024-06-02 09:35:00","Express thoughts","text, video",0,4,1368
https://x.com/DM4HypeGuy/status/1797298483507961869,English,55,1,"2024-06-02 09:05:00","No text","text, picture",0,5,1686
https://x.com/Evilviolettabel/status/1797274762466734348,Thai,0,0,"2024-06-02 07:31:00","Express thoughts","text, picture",0,0,290
https://x.com/grucyloverr/status/1797265783971774857,English,3,0,"2024-06-02 06:55:00","No text","text, video",0,0,461
https://x.com/UniversalIND/status/1797238968586748343,English,7,0,"2024-06-02 05:08:00",Announcement,"text, video",0,0,550
https://x.com/SaanyanCoco/status/179720898729494979,Japanese,15,0,"2024-06-02 03:09:00","Express thoughts","text, picture",0,1,405
https://x.com/GCLebanon/status/1797185552250229177,English,1,0,"2024-06-02 01:36:00",Announcement,"text, video",0,0,154
https://x.com/Angacinemas/status/1797183582361842110,English,0,0,"2024-06-02 01:28:00",Announcement,"text, picture",0,0,197
https://x.com/grucyloverr/status/1797179321569759334,English,9,0,"2024-06-02 01:11:00","No text","text, video",0,0,332
